"part","uk_qty","de_qty"
"11-060110","0","0"
"11-060115","0","0"
"11-060118","0","0"
"11-060119","0","0"
"11-060120","0","0"
"11-060121","0","0"
"11-060122","0","0"
"11-060123","0","0"
"11-060124","0","0"
"11-060125","0","0"
"11-060126","0","0"
"11-060127","0","0"
"11-060128","0","0"
"11-060129","0","0"
"11-060131","0","0"
"11-060134","0","0"
"11-060135","0","0"
"11-060136","0","0"
"11-060137","0","0"
"11-060138","0","0"
"11-060139","0","0"
"11-060140","0","0"
"11-060141","0","0"
"11-060142","0","0"
"11-060143","0","0"
"11-060144","0","0"
"11-060145","0","0"
"11-060146","0","0"
"11-060147","0","0"
"11-060148","0","0"
"11-060149","0","0"
"11-060150","0","0"
"11-060151","0","0"
"11-060152","0","0"
"11-060153","0","0"
"11-060154","0","0"
"11-060155","0","0"
"11-060156","0","0"
"11-060157","0","0"
"11-060158","0","0"
"11-060159","0","0"
"11-060160","0","0"
"11-060161","0","0"
"11-060162","0","0"
"11-060163","0","0"
"11-060164","0","0"
"11-060165","0","0"
"11-060166","0","0"
"11-060167","0","0"
"11-060169","0","0"
"11-060170","0","0"
"11-060171","0","0"
"11-060172","0","0"
"11-060173","0","0"
"11-060174","0","0"
"11-060175","0","0"
"11-060176","0","0"
"11-060177","0","0"
"11-060178","0","0"
"11-060179","0","0"
"11-060180","0","0"
"11-060181","0","0"
"11-060182","0","0"
"11-060183","0","0"
"11-060184","0","0"
"11-060185","0","0"
"11-060186","0","0"
"11-060187","0","0"
"11-060188","0","0"
"11-060189","0","0"
"11-060190","0","0"
"11-060191","0","0"
"11-060192","0","0"
"11-060193","0","0"
"11-060194","0","0"
"11-060195","0","0"
"11-060196","0","0"
"11-060197","0","0"
"11-060198","0","0"
"11-060199","0","0"
"11-070950","0","0"
"11-070951","0","0"
"11-070952","0","0"
"11-070953","0","0"
"11-070954","0","0"
"11-070955","0","0"
"11-070956","0","0"
"11-070958","0","0"
"11-070959","0","0"
"11-070960","0","0"
"11-070961","0","0"
"11-070962","0","0"
"11-070963","0","0"
"11-070964","0","0"
"11-070965","0","0"
"11-070966","0","0"
"11-070967","0","0"
"11-070968","0","0"
"11-070969","0","0"
"11-070970","0","0"
"11-070971","0","0"
"11-070972","0","0"
"11-070973","0","0"
"11-070974","0","0"
"11-070975","0","0"
"11-080601","0","0"
"11-080602","0","0"
"11-080603","0","0"
"11-080604","0","0"
"11-080605","0","0"
"11-080606","0","0"
"11-080607","0","0"
"11-080608","0","0"
"11-080609","0","0"
"11-080610","0","0"
"11-080611","0","0"
"11-080612","0","0"
"11-080613","0","0"
"11-080615","0","0"
"11-080616","0","0"
"11-080617","0","0"
"11-080618","0","0"
"11-080619","0","0"
"11-080620","0","0"
"11-080621","0","0"
"11-080622","0","0"
"11-080623","0","0"
"11-080625","0","0"
"11-080626","0","0"
"11-080627","0","0"
"11-080628","0","0"
"11-080629","0","0"
"11-080630","0","0"
"11-080631","0","0"
"11-080632","0","0"
"11-080633","0","0"
"11-080636","0","0"
"11-080637","0","0"
"11-080638","0","0"
"11-080639","0","0"
"11-080640","0","0"
"11-080641","0","0"
"11-080642","0","0"
"11-080643","0","0"
"11-080644","0","0"
"11-080645","0","0"
"11-080646","0","0"
"11-080647","0","0"
"11-080648","0","0"
"11-080649","0","0"
"11-080650","0","0"
"11-080651","0","0"
"11-080652","0","0"
"11-080653","0","0"
"11-080654","0","0"
"11-080655","0","0"
"11-080656","0","0"
"11-080657","0","0"
"11-080658","0","0"
"11-080659","0","0"
"11-080660","0","0"
"11-080661","0","0"
"11-080662","0","0"
"11-080663","0","0"
"11-080664","0","0"
"11-080665","0","0"
"11-080666","0","0"
"11-080667","0","0"
"11-080668","0","0"
"11-080670","0","0"
"11-081384","0","0"
"11-081483","0","0"
"11-081484","0","0"
"11-081687","0","0"
"11-090201","0","0"
"11-090202","0","0"
"11-090203","0","0"
"11-090204","0","0"
"11-090205","0","0"
"11-090206","0","0"
"11-090207","0","0"
"11-090208","0","0"
"11-090209","0","0"
"11-090210","0","0"
"11-090211","0","0"
"11-090212","0","0"
"11-090213","0","0"
"11-090214","0","0"
"11-090215","0","0"
"11-090216","0","0"
"11-090217","0","0"
"11-090218","0","0"
"11-090219","0","0"
"11-090220","0","0"
"11-090221","0","0"
"11-090222","0","0"
"11-090223","0","0"
"11-090224","0","0"
"11-090225","0","0"
"11-090226","0","0"
"11-090227","0","0"
"11-090228","0","0"
"11-090229","0","0"
"11-090230","0","0"
"11-090231","0","0"
"11-090232","0","0"
"11-090233","0","0"
"11-090234","0","0"
"11-090235","0","0"
"11-090236","0","0"
"11-090237","0","0"
"11-090239","0","0"
"11-090240","0","0"
"11-090241","0","0"
"11-090242","0","0"
"11-090243","0","0"
"11-090244","0","0"
"11-090245","0","0"
"11-090246","0","0"
"11-090247","0","0"
"11-090248","0","0"
"11-090249","0","0"
"11-090250","0","0"
"11-090251","0","0"
"11-090252","0","0"
"11-090253","0","0"
"11-090254","0","0"
"11-090255","0","0"
"11-090256","0","0"
"11-090257","0","0"
"11-090258","0","0"
"11-090259","0","0"
"11-090260","0","0"
"11-090261","0","0"
"11-090262","0","0"
"11-090263","0","0"
"11-090264","0","0"
"11-090265","0","0"
"11-090266","0","0"
"11-090267","0","0"
"11-090268","0","0"
"11-090269","0","0"
"11-090270","0","0"
"11-090271","0","0"
"11-090272","0","0"
"11-090273","0","0"
"11-090274","0","0"
"11-090285","0","0"
"11-101442","0","0"
"11-101473","0","0"
"11-120432","0","0"
"11-120433","0","0"
"11-120434","0","0"
"11-120435","0","0"
"11-120439","0","0"
"11-120440","0","0"
"11-120441","0","0"
"11-120445","0","0"
"11-120448","0","0"
"11-120449","0","0"
"11-120454","0","0"
"11-120461","0","0"
"11-120492","0","0"
"11-120493","0","0"
"11-120494","0","0"
"11-120495","0","0"
"11-120669","0","0"
"11-120674","0","0"
"11-131421","0","0"
"11-141422","0","0"
"11-141423","0","0"
"11-141425","0","0"
"11-141454","0","0"
"11-141469","0","0"
"11-141672","0","0"
"11-141790","0","0"
"11-141791","0","0"
"11-141900","0","0"
"11-141901","0","0"
"11-141903","0","0"
"11-141911","0","0"
"11-141969","0","0"
"11-151476","0","0"
"11-151485","0","0"
"11-151498","0","0"
"11-151663","0","0"
"11-151664","0","0"
"11-151671","0","0"
"11-151674","0","0"
"11-151676","0","0"
"11-151734","0","0"
"11-151735","0","0"
"11-151736","0","0"
"11-151781","0","0"
"11-151797","0","0"
"11-151908","0","0"
"11-151980","0","0"
"11-161308","0","0"
"11-161314","0","0"
"11-161316","0","0"
"11-161332","0","0"
"11-161351","0","0"
"11-161370","0","0"
"11-161376","0","0"
"11-161377","0","0"
"11-161378","0","0"
"11-161407","0","0"
"11-161408","0","0"
